"number";"name";"description";"restriction";"fonction"
 ;"ALPHA-IONOL";"4-(2,6,6-Trimethyl-2-cyclohexenyl)-3-buten-2-ol";"";"PERFUMING"
 ;"ALPHA-IONONE";"4-(2,6,6-Trimethylcyclohex-2-eneyl)-but-3-ene-2-one; 1-(2,6,6-Trimethylcyclohex-2-eneyl)-but-1-ene-3-one.";"";"PERFUMING"
4308;"ALPHA-IONYL ACETATE";"4-(2,6,6-Trimethyl-2-cyclohexenyl)-2-butenyl Acetate.";"";"PERFUMING"
3745;"ALPHA-ISOMETHYL IONONE";"3-Methyl-4-(2,6,6-trimethyl-2-cyclohexenyl)-3-buten-2-one; Methyl-gamma-ionone; gamma-Methylionone";"III/90";"PERFUMING, SKIN CONDITIONING"
 ;"ALPHA-METHYL-ALPHA-IONONE";"(R-(E))-1-(2,6,6-Trimethyl-2-cyclohexenyl)pent-1-en-3-one; alpha-Cetone; alpha-Methylionone; Methyl-alpha-ionone; alpha-Cyclocitrylidenebutanone; alpha-Cyclocitrylidenemethyl ethyl ketone; homo-alpha-ionone";"";"PERFUMING"
 ;"ALPHA-METHYL-ALPHA-VINYL-BENZENEPROPANENITRILE";"alpha-Ethenyl-alpha-methyl-benzenepropanenitrile";"";"PERFUMING"
 ;"ALPHA-METHYL-BETA-IONONE";"1-(2,6,6-Trimethyl-1-cyclohexenyl)pent-1-en-3-one; 5-(2,6,6-Trimethyl-1-cyclohexenyl)-4-penten-3-one; beta-Cetone; beta-Cyclocitrylidenebutanone; beta-Methylionone; Methyl-beta-ionone; beta-Iraldeine; homo-beta-ionone";"";"PERFUMING"
 ;"ALPHA-METHYLDECANENITRILE";"2-Methyldecanenitrile";"";"PERFUMING"
 ;"ALPHA-PHELLANDRENE";"p-Mentha-1,5-diene";"";"PERFUMING"
 ;"ALPHA-PINANOL";"(1a ,2a ,5a )-2,2,6-Trimethylbicyclo[3.1.1]heptan-2-ol";"";"PERFUMING"
 ;"ALPHA-SANTALOL";"5-(2,3-Dimethyltricyclo[2.2.1.02,6]h ept-3-yl)-2-methylpent-2-en-1-ol, stereoisomer";"";"PERFUMING"
5000;"ALPHA-SANTALYL BUTYRATE";"5-(2,3-Dimethyltricyclo[2.2.1.02,6]hept-3-yl)-2-methylpent-2-enyl butanoate";"";"PERFUMING"
 ;"ALPHA-TERPINENE";"p-Mentha-1,3-diene; 1-Methyl-4-isopropyl-1,3-cyclohexadiene; 1-Methyl-4-(1-methylethyl)-1,3-cyclohexadiene";"III/131";"PERFUMING"
17668;"ALPINIA CALCARATA";"Alpinia Calcarata Rhizome Extract is the extract of the rhizomes of Alpinia calcarata, Zingiberaceae";"";"SKIN CONDITIONING"
21474;"ALPINIA FORMOSANA";"Alpinia Formosana Leaf Oil is the volatile oil obtained from the leaves of Alpinia formosana, Zingiberaceae.";"";"HUMECTANT, SKIN CONDITIONING"
25287;"ALPINIA INTERMEDIA";"Alpinia Intermedia Leaf/Stem Powder is the powder obtained from the dried, ground leaves and stems of Alpinia intermedia, Zingiberaceae.";"";"HUMECTANT, SKIN CONDITIONING"
27058;"ALPINIA JAPONICA";"Alpinia Japonica Rhizome Extract is the extract of the rhizomes of Alpinia japonica, Zingiberaceae.";"";"SKIN CONDITIONING"
23685;"ALPINIA KATSUMADAE";"Alpinia Katsumadae Fruit Extract is the extract of the fruit of Alpinia katsumadae, Zingiberaceae.";"";"SKIN CONDITIONING"
14828;"ALPINIA KATSUMADAI";"Alpinia Katsumadai Seed Extract is the extract of the seeds of Alpinia katsumadai, Zingiberaceae";"";"SKIN CONDITIONING"
23071;"ALPINIA MUTICA";"Alpinia Mutica Root Extract is the extract of the roots of Alpinia mutica, Zingiberaceae.";"";"SKIN CONDITIONING"
5494;"ALPINIA NIGRA";"Alpinia Nigra Root Powder is the powder obtained from the dried, ground roots of the Alpinia nigra, Zingiberaceae";"";"HUMECTANT, SKIN CONDITIONING"
15605;"ALPINIA OFFICINARUM";"Alpinia Officinarum Leaf Extract is the extract of the leaves of the Lesser Galangal, Alpinia officinarum (L.), Zingiberaceae";"";"SKIN CONDITIONING"
15891;"ALPINIA OXYPHYLLA";"Alpinia Oxyphylla Seed Extract is the extract of the seeds of Alpinia oxyphylla, Zingiberaceae";"";"SKIN CONDITIONING"
25954;"ALPINIA SPECIOSA";"Alpinia Speciosa Flower Water is an aqueous solution of the steam distillates obtained from the flowers of Alpinia speciose, Zingiberaceae.";"";"SKIN CONDITIONING"
20307;" LEAF";"Alpinia Speciosa Flower/Leaf/Seed/Stem Extract is the extract of the flowers, leaves, seeds and stems of Alpinia speciosa.";"";"ANTIOXIDANT, PRESERVATIVE"
20307;" STEM";"Alpinia Speciosa Flower/Leaf/Seed/Stem Extract is the extract of the flowers, leaves, seeds and stems of Alpinia speciosa.";"";"ANTIOXIDANT, PRESERVATIVE"
21042;"STEM FERMENT";"Alpinia Speciosa Leaf/Stem Ferment is the product obtained by the spontaneous fermentation of the leaves and stems of Alpinia speciosa.";"";"ANTIOXIDANT, PRESERVATIVE"
16516;"ALPINIA URAIENSIS";"Alpinia Uraiensis Leaf Extract is the extract obtained from the leaves of Alpinia uraiensis, Zingiberaceae";"";"SKIN CONDITIONING"
23469;"ALPINIA ZERUMBET";"Alpinia Zerumbet Leaf Extract is the extract of the leaves of Alpinia zerumbet, Zingiberaceae.";"";"ANTIMICROBIAL, ANTISEBORRHOEIC"
23651;"ALSIDIUM HELMINTHOCORTON";"Alsidium Helminthocorton Extract is the extract of alga, Alsidium helminthocorton.";"";"SKIN CONDITIONING"
18686;"ALSTONIA SCHOLARIS";"Alstonia Scholaris Bark Extract is the extract of the bark of Alstonia scholaris L., Apocynaceae";"";"BUFFERING, SKIN PROTECTING"
20252;"ALTERNANTHERA SESSILIS";"Alternanthera Sessilis Extract is the extract of the whole plant, Alternanthera sessilis, Chenopodiaceae.";"";"ANTIMICROBIAL, ANTISEBORRHOEIC"
5500;"ALTEROMONAS FERMENT";"Alteromonas Ferment Extract is an extract of the fermentation product of Alteromonas macleodii";"";"SKIN CONDITIONING"
18585;"ANTHEMIS NOBILIS";"Althaea Officinalis Root/Anthemis Nobilis Flower/Foeniculum Vulgare Fruit/Houttuynia Cordata/Lavandula Angustifolia Flower/Ocimum Basilicum Flower/Rosmarinus Officinalis Leaf Extract is the extract of the roots of Althaea officinalis, the fruits of Foeniculum Vulgare, the flowers of Anthemis nobilis, Lavandula angustifolia, Ocimum basilicum, the leaves of Rosmarinus officinalis and the whole plant of Houttuynia cordata";"";"SKIN CONDITIONING"
18585;"OCIMUM BASILICUM";"Althaea Officinalis Root/Anthemis Nobilis Flower/Foeniculum Vulgare Fruit/Houttuynia Cordata/Lavandula Angustifolia Flower/Ocimum Basilicum Flower/Rosmarinus Officinalis Leaf Extract is the extract of the roots of Althaea officinalis, the fruits of Foeniculum Vulgare, the flowers of Anthemis nobilis, Lavandula angustifolia, Ocimum basilicum, the leaves of Rosmarinus officinalis and the whole plant of Houttuynia cordata";"";"SKIN CONDITIONING"
18585;"ROSMARINUS OFFICINALIS";"Althaea Officinalis Root/Anthemis Nobilis Flower/Foeniculum Vulgare Fruit/Houttuynia Cordata/Lavandula Angustifolia Flower/Ocimum Basilicum Flower/Rosmarinus Officinalis Leaf Extract is the extract of the roots of Althaea officinalis, the fruits of Foeniculum Vulgare, the flowers of Anthemis nobilis, Lavandula angustifolia, Ocimum basilicum, the leaves of Rosmarinus officinalis and the whole plant of Houttuynia cordata";"";"SKIN CONDITIONING"
 ;"ALUMINA";"Aluminium oxide";"";"ABRASIVE, ABSORBENT, ANTICAKING, BULKING, OPACIFYING, VISCOSITY CONTROLLING"
31;"ALUMINUM ACETATE";"Acetic acid, aluminum salt (3:1)";"";"ANTIMICROBIAL, ASTRINGENT"
26830;"ALUMINUM ACETYLACETONATE";"Aluminum, tris(2,4-pentanedionato-\KO2,\KO4)-, (OC-6-11)-,Tris(Acetylacetone) Aluminum";"";"BINDING"
11195;"ALUMINUM BEHENATE";"Aluminium tridocosanoate";"";"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING"
11196;"ALUMINUM BENZOATE";"Aluminium tribenzoate";"";"ANTIMICROBIAL, VISCOSITY CONTROLLING"
32;"ALUMINUM BROMOHYDRATE";"Dialuminium bromide pentahydroxide";"";"ANTIPERSPIRANT, ASTRINGENT, DEODORANT"
33;"ALUMINUM BUTOXIDE";"Aluminium tri-sec-butanolate";"";"STABILISING"
25514;"ALUMINUM CALCIUM";"Aluminum Calcium Magnesium Potassium Sodium Zinc Silicates is a ceramic powder consisting mainly of silicon dioxide, aluminum oxide, calcium oxide, magnesium oxide, potassium oxide, sodium oxide and zinc oxide.";"";"ANTIMICROBIAL"
11197;"ALUMINUM CAPRYLATE";"Aluminium trioctanoate";"";"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING"
34;"ALUMINUM CAPRYLOYL";"Hydrolyzed collagen, product with caprylic acid, aluminum salt";"";"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING"
35;"ALUMINUM CHLORIDE";"Aluminium chloride";"";"ANTIPERSPIRANT, ASTRINGENT, DEODORANT"
36;"ALUMINUM CHLOROHYDRATE";"Dialuminium chloride pentahydroxide";"";"ANTIPERSPIRANT, ASTRINGENT, DEODORANT"
5508;"ALUMINUM CHLOROHYDREX";"Aluminum Chlorohydroxy Propylene Glycol Complexes";"";"ANTIPERSPIRANT, ASTRINGENT, DEODORANT"
37;"ALUMINUM CITRATE";"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, aluminium salt (1:1)";"";"ANTIPERSPIRANT, ASTRINGENT, DEODORANT"
38;"ALUMINUM DIACETATE";"Bis(acetato-O)hydroxyaluminium";"";"ANTIMICROBIAL, ASTRINGENT"
5509;"ALUMINUM DIBENZOATE";"Benzoic acid and octadecanoic acid, aluminium salts (2:1)";"";"VISCOSITY CONTROLLING"
5509;"STEARATE HYDROXIDE";"Benzoic acid and octadecanoic acid, aluminium salts (2:1)";"";"VISCOSITY CONTROLLING"
11200;"ALUMINUM DICETYL";"Phosphoric acid, bis(hexadecyl)ester, aluminium salt";"";"EMULSION STABILISING"
11201;"ALUMINUM DICHLOROHYDRATE";"Aluminum hydroxide chloride (Al2(OH)4Cl2)";"";"ANTIPERSPIRANT, ASTRINGENT, DEODORANT"
11202;"ALUMINUM DICHLOROHYDREX";"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, reaction products with aluminium chloride hydroxide (AlCl(OH)2)";"";"ANTIPERSPIRANT, ASTRINGENT, DEODORANT"
11204;"ALUMINUM DILINOLEATE";"9,12-octadecadienoic acid (Z,Z)-, dimer, aluminum salt";"";"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING"
11205;"ALUMINUM DIMYRISTATE";"Hydroxybis(myristato-O)aluminium";"";"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING"
11206;"ALUMINUM DISTEARATE";"Hydroxyaluminium distearate";"";"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING"
147;"ALUMINUM FLUORIDE";"Aluminium fluoride";"III/34";"ANTIPLAQUE, ORAL CARE"
148;"ALUMINUM GLYCINATE";"Aluminum, (glycinato-N,O)dihydroxy-, hydrate";"";"ASTRINGENT, BUFFERING"
11207;"ALUMINUM HYDROGENATED";"L-Glutamic acid, N-(hydrogenated tallow-acyl) derivatives, aluminium salts";"";"SKIN CONDITIONING"
11208;"ALUMINUM HYDROXIDE";"Aluminium hydroxide";"";"EMOLLIENT, HUMECTANT, OPACIFYING, SKIN PROTECTING, VISCOSITY CONTROLLING"
15752;"ALUMINUM HYDROXY";"Hydroxy aluminium bis(2,4,8,10-tetra-trans-butyl-6-hydroxy-12H-dibenzo[d,g][1.3.2]dioxaphosphocin-6-oxide)";"";"SKIN CONDITIONING"
17938;"ALUMINUM IRON";"Aluminum Iron Calcium Magnesium Germanium Silicates is a ceramic powder consisting mainly of silicon dioxide, aluminum oxide, ferric oxide, calcium oxide, magnesium oxide and germanium oxide";"";"ANTIMICROBIAL, ANTIOXIDANT"
20683;"ALUMINUM ISOPROPOXIDE";"2-Propanol, aluminum salt (3:1)";"";"ABRASIVE"
11209;"ALUMINUM ISOSTEARATE";"Isostearic acid, aluminum salt";"";"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING"
11210;"ALUMINUM ISOSTEARATES";"Isostearic acid, lauric acid, palmitic acid, mixture, aluminum salt";"";"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING"
11210;"LAURATES";"Isostearic acid, lauric acid, palmitic acid, mixture, aluminum salt";"";"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING"
11210;"PALMITATES";"Isostearic acid, lauric acid, palmitic acid, mixture, aluminum salt";"";"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING"
11211;"STEARATES";"Isostearic, lauric, stearic acids mixture, aluminum salt";"";"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING"
11212;"MYRISTATES";"Isostearic acid, myristic acid, mixture, aluminum salt";"";"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING"
5511;"ALUMINUM ISOSTEARYL";"Aluminium (3-isooctadecyloxy-2-hydroxypropyl) hydrogen phosphate";"";"VISCOSITY CONTROLLING"
11215;"ALUMINUM LACTATE";"Aluminium trilactate";"";"ASTRINGENT, BUFFERING, DEODORANT"
11216;"ALUMINUM LANOLATE";"Fatty acids, lanolin, aluminum salts";"";"ANTICAKING, EMULSION STABILISING, VISCOSITY CONTROLLING"
5512;"ALUMINUM MAGNESIUM";"Aluminium magnesium oxide";"";"ABSORBENT, ANTICAKING, BULKING, ORAL CARE"
149;"ALUMINUM METHIONATE";"Tris[.mu.-[methanedisulphonato(2-)]]dialuminium";"";"VISCOSITY CONTROLLING"
11217;"ALUMINUM MYRISTATE";"Tetradecanoic acid, aluminium salt";"";"ANTICAKING, EMULSION STABILISING, VISCOSITY CONTROLLING"
11218;"ALUMINUM MYRISTATES";"Myristic, palmitic acids, mixture, aluminum salt";"";"ANTICAKING, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING"
11219;"ALUMINUM PCA";"Tris(5-oxo-L-prolinato-N1,O2)aluminium";"";"ASTRINGENT, SKIN CONDITIONING"
11220;"ALUMINUM PHENOLSULFONATE";"Aluminium tris(hydroxybenzenesulphonate)";"";"ANTIMICROBIAL, ASTRINGENT, DEODORANT"
150;"ALUMINUM SESQUICHLOROHYDRATE";"Aluminum chloride hydroxide (Al4Cl3(OH)9)";"";"ANTIPERSPIRANT, ASTRINGENT, DEODORANT"
11221;"ALUMINUM SESQUICHLOROHYDREX";"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, reaction products with aluminium chloride hydroxide (Al2Cl1.5(OH)4.5)";"";"ANTIPERSPIRANT, ASTRINGENT, DEODORANT"
11223;"ALUMINUM SILICATE";"Aluminatesilicate (CI 77004); Aluminosilicate";"IV/119";"ABRASIVE, ABSORBENT, ANTICAKING, BULKING, COSMETIC COLORANT, OPACIFYING"
187;"ALUMINUM STARCH";"Starch, hydrogen octenylbutanedionate, aluminum salt";"";"ABSORBENT, ANTICAKING, VISCOSITY CONTROLLING"
188;"ALUMINUM STEARATE";"Dihydroxyaluminium stearate";"IV/150";"ANTICAKING, COSMETIC COLORANT, EMULSION STABILISING, VISCOSITY CONTROLLING"
11224;"ALUMINUM STEARATES";"Aluminum distearate and aluminum tristearate";"";"ANTICAKING, EMOLLIENT, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING"
5513;"ALUMINUM STEAROYL";"Aluminium 2-(1-oxooctadecylamino)pentanedioate (1:3 salt)";"";"MOISTURISING, SKIN CONDITIONING"
5514;"ALUMINUM SUCROSE";"Aluminum, hexadeca-mu-hydroxytetracosahydroxy[mu8-[1,3,4,6-tetra-O-sulfo-beta-D-fructofuranosyl] alfa-D-gluycopyranoside tetrakis(hydrogen sulfato)(8-)]] hexadeca-";"";"SKIN CONDITIONING"
189;"ALUMINUM SULFATE";"Aluminium sulphate";"";"ANTIPERSPIRANT, ASTRINGENT, DEODORANT"
5515;"ALUMINUM TRIFORMATE";"Aluminiumtriformate";"";"BUFFERING"
14756;"ALUMINUM TRIPHOSPHATE";"Aluminium dihydrogen triphosphate";"";"ABSORBENT, DEODORANT"
26499;"ALUMINUM TRIS-HYDROXYNITROSOANILINE";"Tris(N-hydroxy-N-nitrosophenylaminato-O,O')aluminium";"";"NAIL CONDITIONING"
11225;"ALUMINUM TRISTEARATE";"Aluminium tristearate";"";"ANTICAKING, EMOLLIENT, EMULSION STABILISING, OPACIFYING, VISCOSITY CONTROLLING"
190;"ALUMINUM UNDECYLENOYL";"Collagens, hydrolyzates, reaction products with undecenoyl chloride, aluminum salts";"";"ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING"
24833;"ALUMINUM ZINC";"Aluminum Zinc Carbonate Hydroxide is the inorganic compound that conforms to the formula:";"";"ANTIOXIDANT"
191;"ALUMINUM ZIRCONIUM";"Octaaluminium zirconium octachloride icosahydroxide";"III/50";"ANTIPERSPIRANT, ASTRINGENT, DEODORANT"
 ;"ALUMINUM";"Aluminum/Calcium/Manganese Oxide is the product obtained by the calcination of calcium oxide, Alumina and manganese.";"";"COSMETIC COLORANT"
 ;"CALCIUM";"Aluminum/Calcium/Manganese Oxide is the product obtained by the calcination of calcium oxide, Alumina and manganese.";"";"COSMETIC COLORANT"
22583;"MANGANESE OXIDE";"Aluminum/Calcium/Manganese Oxide is the product obtained by the calcination of calcium oxide, Alumina and manganese.";"";"COSMETIC COLORANT"
22561;"MAGNESIUM AZELATE";"Aluminum/Magnesium Azelate Hydroxide is the product obtained by the reaction of Azelaic Acid with magnesium chloride, and aluminum chloride, neutralized by sodium hydroxide.";"";"EMULSION STABILISING, VISCOSITY CONTROLLING"
11226;"MAGNESIUM HYDROXIDE";"Aluminum magnesium hydroxide and stearic acid";"";"EMULSION STABILISING, VISCOSITY CONTROLLING"
5517;"ALYSICARPUS VAGINALIS";"Alysicarpus Vaginalis Extract is an extract of the whole plant, Alysicarpus vaginalis, Fabaceae";"";"SKIN CONDITIONING"
 ;"AMARANTHETH-20";"Amarantheth-20 is the polyethylene glycol ether of the fatty alcohols derived from Amaranthus Caudatus Seed Oil that conforms generally to the formula";"";"EMULSIFYING, SURFACTANT"
16187;"AMARANTHUS CAUDATUS";"Amaranthus Caudatus Extract is the extract of the whole plant of Amaranthus caudatus L., Amaranthaceae";"";"SKIN CONDITIONING"
19261;"AMARANTHUS CRUENTUS";"Amaranthus Cruentus Seed Extract is the extract of the seeds of Amaranthus cruentus L., Amaranthaceae";"";"SKIN CONDITIONING"
15933;"AMARANTHUS MANGOSTANUS";"Amaranthus Mangostanus Extract is the extract of the whole plant, Amaranthus mangostanus L., Amaranthaceae";"";"SKIN CONDITIONING"
21798;"AMARANTHUS SPINOSUS";"Amaranthus Spinosus Seed Oil is the fixed oil expressed from the seeds of Amaranthus spinosus, Amaranthaceae.";"";"EMOLLIENT, SKIN CONDITIONING"
21838;"AMARYLLIS BELLADONNA";"Amaryllis Belladonna Flower/Leaf/Stem Extract is the extract obtained from the flowers, leaves, and stems of Amaryllis belladonna, Liliaceae.";"";"HUMECTANT, SKIN CONDITIONING"
5519;"AMBER EXTRACT";"Amber Extract is an extract of the fossilized resin obtained from the tree, Pinus succinifera";"";"HAIR CONDITIONING, SKIN CONDITIONING"
5520;"AMBER POWDER";"Amber Powder is the fossilized resin obtained from the pine tree, Pinus succinifera";"";"DEODORANT"
3193;"AMBERGRIS EXTRACT";"Ambergris, ext";"";"PERFUMING"
3194;"AMBERGRIS TINCTURE";"Extracted with ethanol from the whale. Irregularly shaped gray, waxy opaque masses from the intestines of the sperm whale. It consists primarily of cholesterol, ambrein, and benzoic acid";"";"PERFUMING"
 ;"AMBREIN";"(1R,2R,4aS,8aS)-1-[(3E)-6-[(1S)-2,2-Dimethyl-6-methylenecyclohexyl]-4-methyl-3-hexenyl]decahydro-2,5,5,8a-tetramethyl-2-naphthalenol";"";"PERFUMING"
 ;"AMBRETTOLIDE";"1-Oxacycloheptadec-7-en-2-one; 6-Hexadecen-16-olide";"";"PERFUMING"
16202;"AMBROSIA PERUVIANA";"Ambrosia Peruviana Leaf Extract is the extract of the leaves of Ambrosia peruviana, Asteraceae";"";"SKIN CONDITIONING"
25585;"AMBROSIA TRIFIDA";"Ambrosia Trifida Leaf Extract is the extract of the leaves of Ambrosia trifida, Asteraceae.";"";"ANTIOXIDANT, HUMECTANT, SKIN CONDITIONING"
15581;"AMBURANA CEARENSIS";"Ambutama Cearenses Seed Oil is the oil expressed from the seeds of Amburana cearensis, Fabaceae";"";"ABRASIVE"
25618;"AMELANCHIER ALNIFOLIA";"Amelanchier Alnifolia Flower Extract is the extract of the flowers of Amelanchier alnifolia, Rosaceae.";"";"MASKING"
19563;"AMELANCHIER CANADENSIS";"Amelanchier Canadensis Fruit Extract is the extract of the fruit of Amelanchier canadensis.";"";""
 ;"AMENTOFLAVONE";"Bis-Apigenin ; 4H-1-Benzopyran-4-one, 8-(5-(5,7-dihydroxy-4-oxo-4H-1-benzopyran-2- yl)-2-hydroxyphenyl)-5,7-dihydroxy-2-(4-hydroxyphenyl)- .";"";"ANTIOXIDANT, BLEACHING"
17565;"AMETHYST EXTRACT";"Amethyst Extract is the extract of Amethyst Powder";"";"SKIN CONDITIONING"
5521;"AMETHYST POWDER";"Amethyst Powder ia a mineral consisting chiefly of silicon dioxide";"";"ABRASIVE"
17366;"AMIDINO BETA-ALANINE";"3-guanidinopropionic acid";"";"SKIN CONDITIONING"
 ;"AMIDINOCYSTEINE";"2-Guanidino-3-mercaptopropionic acid";"";"HAIR WAVING OR STRAIGHTENING"
 ;"AMIDINOGLYCINE";"Glycine, N-(Aminoiminomethyl)-";"";"SKIN CONDITIONING"
 ;"AMIDINOPROLINE";"1-Aminoiminomethyl-2-pyrrolidinecarboxylic acid";"";"HUMECTANT, MASKING, PERFUMING, SKIN CONDITIONING"
201;"AMINO BISPROPYL";"1,1'-Iminobis(3-(tris(trimethylsiloxy)silyl)propane";"";"EMULSIFYING, HAIR CONDITIONING"
22818;"AMINO ESTERS-1";"Amino Esters-1 is the mixture of Aspartic Acid, Arginine, Glycine, Glutamic Acid , Histidine, Lysine and their esters";"";"SKIN CONDITIONING"
22819;"AMINO ESTERS-2";"Amino Esters-2 is the mixture of Aspartic Acid , Glycine , Glutamic Acid, and their esters";"";"SKIN CONDITIONING"
22820;"AMINO ESTERS-3";"Amino Esters-3 is the mixture of Aspartic Acid, Glutamic Acid and their esters.";"";"SKIN CONDITIONING"
17629;"AMINOBENZOYL TRIPEPTIDE-39";"Aminobenzoyl Tripeptide-39 Hydroxamic Acid is the product obtained by the reaction of Tripeptide-39 with aminobenzoic and hydroxamic acids";"";"SKIN PROTECTING"
202;"AMINOBUTYRIC ACID";"4-Aminobutyric acid";"";"HAIR CONDITIONING"
21748;"AMINOBUTYROYL HEXAPEPTIDE-8";"Aminobutyroyl Hexapeptide-8 Amide is the product obtained by the reaction of Aminobutyric Acid and Hexapeptide-8 in which the C-terminus of the peptide is an amide";"";"ANTIOXIDANT, SKIN PROTECTING"
21749;"AMINOBUTYROYL PENTAPEPTIDE-4";"Aminobutyroyl Pentapeptide-4 is the product obtained by the reaction of Aminobutyric Acid and Pentapeptide-4.";"";"ANTIOXIDANT, SKIN PROTECTING"
21747;"AMINOBUTYROYL TRIPEPTIDE-1";"Aminobutyroyl Tripeptide-1 is the product obtained by the reaction of Aminobutyric Acid and Tripeptide-1.";"";"ANTIOXIDANT, SKIN PROTECTING"
11227;"AMINOETHANESULFINIC ACID";"Ethanesulfinic acid, 2-amino-";"";"ANTIOXIDANT, REDUCING"
25403;"AMINOETHOXYMETHYL PYRROLOPYRIMIDONE";"Aminoethoxymethyl Pyrrolopyrimidone is the organic compound that conforms to the formula:";"";"NOT REPORTED"
25383;"AMINOETHYL DISULFIDE";"Aminoethyl Disulfide Keratin is the product obtained by the reduction and oxidation of wool fibers to derivatize the free thiol groups to S-aminoethyl keratin.";"";"HAIR CONDITIONING"
11279;"AMINOETHYL PROPANEDIOL";"2-Amino-2-ethylpropanediol";"";"BUFFERING"
203;"AMINOETHYL SULFATE";"2-aminoethyl hydrogen sulphate";"";"SURFACTANT"
11280;"AMINOETHYLACRYLATE PHOSPHATE";"2-Propenoic acid, 2-aminoethyl ester, polymer with 1,2-propanediol mono-2-propenoate, phosphate (salt)";"";"ANTISTATIC, FILM FORMING, HAIR FIXING"
5742;"AMINOETHYLAMINOPROPYL DIMETHICONE";"Silicones and siloxanes, dimethyl, 3-(2-aminoethyl)aminopropyl methyl, trimethylsilyl terminated";"";"ANTICAKING"
 ;"AMINOETHYLETHANOLAMINE";"Ethanol, 2-[(2-aminoethyl)amino]-,Hydroxyethyl Ethylenediamine";"CMR 1B (Repr. 1B)";"NOT REPORTED"
5743;"AMINOETHYLPHOSPHINIC ACID";"Phosphinic acid, (1-aminoethyl)-";"";"SKIN CONDITIONING"
 ;"AMINOETHYLPROPANEDIOL-ACRYLATES";"Polymer formed from acrylamide and the aminoethylpropanediol salt of a monomer consisting of acrylic acid, methacrylic acid or one of their simple esters";"III/66";"FILM FORMING, HAIR FIXING"
 ;"AMINOETHYLPROPANEDIOL-AMPD-ACRYLATES";"Polymer formed from diacetoneacrylamide and the mixed aminoethylpropanediol and aminomethylpropanediol salts of a monomer consisting of acrylic acid, methacrylic acid or one of their simple esters";"";"FILM FORMING, HAIR FIXING"
25402;"AMINOHEXYL GUANINE";"Aminohexyl Guanine is the substituted nucleic acid that conforms to the formula:";"";"NOT REPORTED"
18151;"AMINOLEVULINIC ACID";"5-Amino-3-oxopentanoic acid hydrochloride";"";"ANTIMICROBIAL, HAIR CONDITIONING, SKIN CONDITIONING"
23528;"AMINOLEVULINOYL PENTAPEPTIDE-6";"Aminolevulinoyl Pentapeptide-6 is the product obtained by the reaction of aminolevulinoyl chloride and Pentapeptide-6";"";"ANTIOXIDANT"
20144;"AMINOLEVULINOYL SH-PENTAPEPTIDE-19";"Aminolevulinoyl sh-Pentapeptide-19 is the product formed by the reaction of aminolevulinic acid and sh-Pentapeptide-19";"";"ANTIOXIDANT, HAIR CONDITIONING, SKIN PROTECTING"
20096;"AMINOLEVULINOYL TRIPEPTIDE-1";"Aminolevulinoyl Tripeptide-1 is the product obtained by the reaction of aminolevulinic acid and Tripeptide-1";"";"ANTIOXIDANT, HAIR CONDITIONING, SKIN PROTECTING"
20095;"AMINOLEVULINOYL TRIPEPTIDE-35";"Aminolevulinoyl Tripeptide-35 is the product obtained by the reaction of aminolevulinic acid and Tripeptide-35";"";"BLEACHING, HAIR CONDITIONING, SKIN PROTECTING"
26296;"AMINOLEVULINOYL TRIPEPTIDE-63";"Aminolevulinoyl Tripeptide-63 is the product obtained by the reaction of aminolevulinoyl chloride with Tripeptide-63.";"";"ANTIOXIDANT, ANTISEBORRHOEIC, HAIR CONDITIONING, SKIN PROTECTING"
23527;"AMINOLEVULINOYL TRIPEPTIDE-7";"Aminolevulinoyl Tripeptide-7 is the product obtained by the reaction of aminolevulinoyl chloride with Tripeptide-7.";"";"ANTIOXIDANT"
11281;"AMINOMETHYL PROPANEDIOL";"2-Amino-2-methylpropane-1,3-diol";"";"BUFFERING"
11282;"AMINOMETHYL PROPANOL";"2-Amino-2-methylpropanol";"III/61";"BUFFERING"
