"Name";"Accepted_name_rank";"Accepted_name_family";"Genus_matched";"Specific_epithet_matched";"Accepted_name_species";"Taxonomic_status";"Overall_score";"Source";"fonction";"restriction";"description"
"Senna auriculata";"species";"Fabaceae";"Cassia";"auriculata";"Senna auriculata";"Synonym";"1";"ildis";"SKIN CONDITIONING";"";"Cassia Auriculata Leaf Powder is a powder of the dried, ground leaves of Cassia auriculata L., Leguminosae"
"Cassia fistula";"species";"Fabaceae";"Cassia";"fistula";"Cassia fistula";"Accepted";"1";"ildis;tropicos;usda";"SKIN CONDITIONING";"";"Cassia Fistula Flower Extract is the extract of the flowers of Cassia fistula, Fabaceae."
"Senna italica";"species";"Fabaceae";"Cassia";"italica";"Senna italica";"Synonym";"1";"ildis";"SKIN CONDITIONING";"";"Cassia Italica Leaf Extract is an extract of the leaves of the Senna, Cassia italica, Leguminosae"
"Chamaecrista nomame";"species";"Fabaceae";"Cassia";"nomame";"Chamaecrista nomame";"Synonym";"1";"ildis";"SKIN CONDITIONING";"";"Cassia Nomame Extract is the extract of the whole plant, Cassia nomame, Fabaceae"
"Senna obtusifolia";"species";"Fabaceae";"Cassia";"obtusifolia";"Senna obtusifolia";"Synonym";"1";"ildis";"SKIN CONDITIONING";"";"This is the extract of the product obtained by the fermentation of the fruits of Citrus unshui, Citus japonica, Citrus junos, Pyrus malus, Musa sapientum, Carica papaya, Pyrus serotina, Diospyros kaki, Citrullus vulgaris, Prunus persica, Prunus mume, Ficus carica, Chaenomeles sinensis, Eriobotrya japonica, Prunus armeniaca, Zizyphus jujuba, Cucurbita maxima, Castanea crenata, Vitis coignetiae, Rubus idaeus, Momordica grosbenorii, Ginkgo biloba, Juglans subcordiformis, Prunus salicina, Akebia quinata, Ctataegus cuneata, Cornus officinalis, Nephelium longana , the flowers of Chamomilla recutita, Carthamus tinctorius , the seeds of Lycium chinense, Glycine max, Phaseolus angularis, Canavalia ensiformis, Oryza sativa, Hordeum vulgare, Coix lachryma-jobi, Echinochloa crus-galli, Setaria italica, Panicum miliaceum, Sesamum indicum, Cassia obtusifolia, Pinus koraiensis , roots of Ipomoea batatas, Helianthus tuberosus, Colocasia antiquorum, Dioscorea batatas, Raphanus sativus, Brassica rapa, Daucus carota sativa, Arctium lappa, Nelumbo nucifera, Lilium auratum, Glycyrrhiza glabra, Sagittaria trifolia, Smallanthus sonchifolius, Acanthopanax sieboldianus , leaves of Brassica oleracea capitata, Morus bombycis, Perilla frutescens, Sasa veitchii , bulb of Allium sativum, Allium cepa , fruiting body of Hydnum erinaceum, Grifola frondosa, Lentinus edodes, Auricularia auricula , rhizomes of Zingiber officinale, Beta vulgaris, Polygonatum odoratum, Curcuma longa , the alga, Iridea laminarioides, Laminaria japonica, Nemacystus decipiens, Undaria pinnatifida , and the whole plants, Houttuynia cordata, Artemisia princeps, Glechoma hederacea, Taraxacum officinale, Isodon japonicus, Plantago asiatica by the microorganisms, Aspergillus, Lactobacillus, Pediococcus, Saccharomyces and Zygosaccharomyces"
"Senna alexandrina";"species";"Fabaceae";"Cassia";"senna";"Senna alexandrina";"Synonym";"1";"ildis;tropicos;usda";"SKIN CONDITIONING";"";"Cassia Senna Leaf Extract is an extract of the leaves of the Alexandrian Senna, Cassia senna L., Leguminosae"
"Cassytha filiformis";"species";"Lauraceae";"Cassytha";"filiformis";"Cassytha filiformis";"Accepted";"1";"tpl;tropicos;usda";"ANTIOXIDANT, ANTISEBORRHOEIC, PRESERVATIVE, SKIN CONDITIONING, SKIN PROTECTING";"";"Cassytha Filiformis Powder is the powder obtained from the dried, ground whole plant, Cassytha filiformis, Lauraceae."
"Castanea crenata";"species";"Fagaceae";"Castanea";"crenata";"Castanea crenata";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"This is the extract of the product obtained by the fermentation of the fruits of Citrus unshui, Citus japonica, Citrus junos, Pyrus malus, Musa sapientum, Carica papaya, Pyrus serotina, Diospyros kaki, Citrullus vulgaris, Prunus persica, Prunus mume, Ficus carica, Chaenomeles sinensis, Eriobotrya japonica, Prunus armeniaca, Zizyphus jujuba, Cucurbita maxima, Castanea crenata, Vitis coignetiae, Rubus idaeus, Momordica grosbenorii, Ginkgo biloba, Juglans subcordiformis, Prunus salicina, Akebia quinata, Ctataegus cuneata, Cornus officinalis, Nephelium longana , the flowers of Chamomilla recutita, Carthamus tinctorius , the seeds of Lycium chinense, Glycine max, Phaseolus angularis, Canavalia ensiformis, Oryza sativa, Hordeum vulgare, Coix lachryma-jobi, Echinochloa crus-galli, Setaria italica, Panicum miliaceum, Sesamum indicum, Cassia obtusifolia, Pinus koraiensis , roots of Ipomoea batatas, Helianthus tuberosus, Colocasia antiquorum, Dioscorea batatas, Raphanus sativus, Brassica rapa, Daucus carota sativa, Arctium lappa, Nelumbo nucifera, Lilium auratum, Glycyrrhiza glabra, Sagittaria trifolia, Smallanthus sonchifolius, Acanthopanax sieboldianus , leaves of Brassica oleracea capitata, Morus bombycis, Perilla frutescens, Sasa veitchii , bulb of Allium sativum, Allium cepa , fruiting body of Hydnum erinaceum, Grifola frondosa, Lentinus edodes, Auricularia auricula , rhizomes of Zingiber officinale, Beta vulgaris, Polygonatum odoratum, Curcuma longa , the alga, Iridea laminarioides, Laminaria japonica, Nemacystus decipiens, Undaria pinnatifida , and the whole plants, Houttuynia cordata, Artemisia princeps, Glechoma hederacea, Taraxacum officinale, Isodon japonicus, Plantago asiatica by the microorganisms, Aspergillus, Lactobacillus, Pediococcus, Saccharomyces and Zygosaccharomyces"
"Castanea sativa";"species";"Fagaceae";"Castanea";"sativa";"Castanea sativa";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Castanea Sativa Bark Extract is an extract of the bark of Chestnut, Castanea sativa, Fagaceae"
"Castanopsis cuspidata";"species";"Fagaceae";"Castanopsis";"cuspidata";"Castanopsis cuspidata";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Castanopsis Sieboldii Bark Extract"
"Allocasuarina verticillata";"species";"Casuarinaceae";"Casuarina";"stricta";"Allocasuarina verticillata";"Synonym";"1";"tpl";"SKIN CONDITIONING";"";"Casuarina Stricta Branch/Leaf Extract is the extract of the branches and leaves of Casuarina stricta, Casaurinaceae"
"Catalpa bignonioides";"species";"Bignoniaceae";"Catalpa";"bignonioides";"Catalpa bignonioides";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Catalpa Bignonioides Leaf Extract is the extract of the leaves of Catalpa bignonioides, Bignoniaceae"
"Catalpa ovata";"species";"Bignoniaceae";"Catalpa";"ovata";"Catalpa ovata";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Catalpa Ovata Bark/Leaf Extract is an extract of the leaves and bark of the Catalpa ovata, Bignoniaceae"
"Catharanthus roseus";"species";"Apocynaceae";"Catharanthus";"roseus";"Catharanthus roseus";"Accepted";"1";"tpl";"NOT REPORTED";"";"Lactobacillus/Glycerin/Hydrolyzed Casein/Lactose/Catharanthus Roseus Seed/Yeast Extract Ferment is the product obtained by the fermentation of glycerin, hydrolyzed casein, lactose, crushed periwinkle seeds from the plant Catharanthus roseus, and yeast extract by the microorganism, Lactobacillus"
"Caulerpa taxifolia";"species";"Caulerpaceae";"Caulerpa";"taxifolia";"Caulerpa taxifolia";"Accepted";"1";"usda";"SKIN PROTECTING";"";"Caulerpa Taxifolia Extract is an extract of the Alga, Caulerpa taxifolia, Caulerpaceae"
"Caulophyllum thalictroides";"species";"Berberidaceae";"Caulophyllum";"thalictroides";"Caulophyllum thalictroides";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Caulophyllum Thalictroides Rhizome/Root is a plant material derived from the dried rhizomes and roots of the Blue Cohosh, Caulophyllum thalictroides, Berberidaceae"
"Cayaponia tayuya";"species";"Cucurbitaceae";"Cayaponia";"tayuya";"Cayaponia tayuya";"Accepted";"1";"tpl;tropicos";"ANTIOXIDANT, SKIN CONDITIONING";"";"Cayaponia Tayuya Root Extract is the extract of the roots of Cayaponia tayuya, Cucurbitaceae"
"Ceanothus americanus";"species";"Rhamnaceae";"Ceanothus";"americanus";"Ceanothus americanus";"Accepted";"1";"tpl;tropicos;usda";"CLEANSING";"";"Ceanothus Americanus Extract is an extract of the herb of the Yersey Tea, Ceanothus americanus L., Rhamnaceae"
"Cecropia obtusa";"species";"Urticaceae";"Cecropia";"obtusa";"Cecropia obtusa";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Cecropia Obtusa Bark Extract is an extract of the bark of the Cecropia obtusa, Urticaceae"
"Cedrela odorata";"species";"Meliaceae";"Cedrela";"odorata";"Cedrela odorata";"Accepted";"1";"tpl;tropicos;usda";"PERFUMING";"";"Cedrela Odorata Wood Extract is an extract obtained from the wood of the tree, Cedrela odorata L., Meliaceae"
"Toona sinensis";"species";"Meliaceae";"Cedrela";"sinensis";"Toona sinensis";"Synonym";"1";"tpl";"SKIN PROTECTING";"";"Cedrela Sinensis Leaf Extract is the extract of the leaves of Cedrela sinensis; Meliaceae."
"Cedrelopsis grevei";"species";"Rutaceae";"Cedrelopsis";"grevei";"Cedrelopsis grevei";"Accepted";"1";"tpl";"SKIN PROTECTING";"";"Cedrelopsis Grevei Bark Extract is the extract of the bark of Cedrelopsis grevei, Rutaceae"
"Cedrus atlantica";"species";"Pinaceae";"Cedrus";"atlantica";"Cedrus atlantica";"Accepted";"1";"tpl;tropicos";"PERFUMING, SKIN CONDITIONING";"III/122";"Cedrus Atlantica Bark Extract is an extract of the bark of Cedrus atlantica, Pinaceae"
"Cedrus deodara";"species";"Pinaceae";"Cedrus";"deodara";"Cedrus deodara";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Cedrus Deodara Seed Extract is the extract of the seeds of Cedrus deodara; Pinaceae."
"Cedrus libani";"species";"Pinaceae";"Cedrus";"libani";"Cedrus libani";"Accepted";"1";"tpl";"EMOLLIENT, SKIN CONDITIONING";"";"Cedrus Libani Bark Extract is the extract of the bark of Cedrus libani, Pinaceae"
"Ceiba pentandra";"species";"Malvaceae";"Ceiba";"pentandra";"Ceiba pentandra";"Accepted";"1";"tpl;tropicos;usda";"";"";"Ceiba Pentandra Fiber Powder is the powder obtained from the dried, ground fiber of Ceiba pentandra, Malvaceae"
"Celastrus orbiculatus";"species";"Celastraceae";"Celastrus";"orbiculatus";"Celastrus orbiculatus";"Accepted";"1";"tpl;tropicos;usda";"ANTIOXIDANT, BLEACHING";"";"Celastrus Orbiculatus Branch/Leaf Extract is the extract of the branches and leaves of Celastrus orbiculatus, Celastraceae"
"Celastrus paniculatus";"species";"Celastraceae";"Celastrus";"paniculatus";"Celastrus paniculatus";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Celastrus Paniculata Extract"
"Celosia argentea";"species";"Amaranthaceae";"Celosia";"cristata";"Celosia argentea";"Synonym";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"This is the extract of the flowers of Adonis Amurensis/Akebia Quinata/Albizia Julibrissin/Althaea Rosea/Angelica Acutiloba/Angelica Anomala/Aquilegia Buergeriana/Artemisia Princeps/Aster Ciliosus/Aster Scaber/Brassica Campestris/Broussonetia Kazinoki/Callistephus Chinensis/Camellia Japonica/Camellia Sinensis/Campsis Grandiflora/Caragana Sinica/CarthamusTinctorius/Cassia Obtusifolia/Celosia Cristata/Cercis Chinensis/Chaenomeles Sinensis/Chrysanthemum Indicum/Chrysanthemum Zawadskii/Clematis Terniflora/Commelina Communis/Cornus Kousa/Cornus Officinalis/Corydalis Incisa/Corydalis Turtschaninovii/Cucurbita Moschate/Dendrobium Nobile/Dianthus Chinensis/Elsholtzia Splendens/Eupatorium Lindleyanum/Forsythia Koreana/Fritillaria Ussuriensis/Gardenia Jasminoides/Ginkgo Biloba/Helianthus Annuus/Helianthus Tuberosus/Hemerocallis Fulva/Hibiscus Mutabilis/Hibiscus Syriacus/Hosta Plantaginae/Hydrangea Macrophylla/Impatiens Balsamina/Ipomea Hederacea/Iris Pallasii/Iris Pseudacorus/Kerria Japonica/Lagerstroemia Indica/Leonurus Sibiricus/Lespedeza Bicolor/Lilium Lancifolium/Lindera Obtusiloba/Liriopes Muscari/Lonicera Japonica/Lycoris Radiata/Magnolia Kobus/Magnolia Liliflora/Malus Sieboldii/Narcissus Tazetta/Nelumbo Nucifera/Oenothera Biennis/Paeonia Lactiflora/Paeonia Suffruticosa/Papaver Rhoeas/PatriniaScabiosifolia/Paulownia Coreana/Persicaria Thunbergii/Petasites Japonicus/Phytolacca Esculenta/Platycodon Grandiflorus/Polygonum Odoratum/Ponicirus Trifoliata/Prunus Armeniaca/Prunus Mume/Prunus Persica/Prunus Serrulata/Prunus Tomentosa/Pueraria Lobata/Rhododendron Mucronulatum/Robinia Pseudacacia/Rosa Multiflora/Rosa Rugosa/Sasa Borealis/Sophora Japonica/Spiraea Prunifolia/Styrax Japonica/Syringa Vulgaris/Taraxacum Platycarpum/Tulipa Edulis/Viola Mandschurica/Weigela Subsessilis/Wisteria Sinensis/Zanthoxylum Schinifolium/Zea Mays/Zingiber Mioga/Zinnia Elegans Flower Extract"
"Cyanus segetum";"species";"Asteraceae";"Centaurea";"cyanus";"Cyanus segetum";"Synonym";"1";"gcc";"ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING, SKIN PROTECTING";"";"Borago Officinalis/Lavandula Angustifolia/Hyacinthus Orientalis/Salvia Sclarea/(Centaurea Cyanus/Chamomilla Recutita) Flower/Chamomilla Recutita Leaf Water is the aqueous solution of the steam distillates obtained from the whole plants, Borago officinalis , Lavandula angustifolia , Hyacinthus orientalis , and Salvia sclarea , the flowers of Chamomilla recutita and Centaurea cyanus and the leaves of Chamomilla recutita."
"Centaurea nigra";"species";"Asteraceae";"Centaurea";"nigra";"Centaurea nigra";"Accepted";"1";"gcc;tropicos;usda";"EMOLLIENT, SKIN CONDITIONING";"";"Centaurea Nigra Extract is the extract of the whole plant, Centaurea nigra, Asteraceae."
"Centaurium erythraea";"species";"Gentianaceae";"Centaurium";"erythraea";"Centaurium erythraea";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Erythraea Centaurium Extract is an extract of the herb of the Small Centaury, Erythraea centaurium, Gentianaceae"
"Centella asiatica";"species";"Apiaceae";"Centella";"asiatica";"Centella asiatica";"Accepted";"1";"tpl;tropicos;usda";"ANTIOXIDANT, EMOLLIENT, SKIN CONDITIONING, SKIN PROTECTING";"";"Aspergillus/Centella Asiatica Leaf/Stem Extract/Swiftlet Nest Extract Ferment Filtrate is the filtrate of the product obtained by the fermentation of the leaves and stems of Centella asiatica and Swiftlet Nest Extract by the microorganism, Aspergillus."
"Centipeda cunninghamii";"species";"Asteraceae";"Centipeda";"cunninghamii";"Centipeda cunninghamii";"Accepted";"1";"gcc";"SKIN CONDITIONING";"";"Centipeda Cunninghamii Extract is an extract of the whole plant Centipeda cunninghamii, Asteraceae"
"Centotheca lappacea";"species";"Poaceae";"Centotheca";"lappacea";"Centotheca lappacea";"Accepted";"1";"tpl;tropicos;usda";"ANTIOXIDANT, SKIN CONDITIONING";"";"Centotheca Lappacea Extract is the extract of the whole plant, Centotheca lappacea, Poaceae."
"Cerastium arcticum";"species";"Caryophyllaceae";"Cerastium";"arcticum";"Cerastium arcticum";"Accepted";"1";"tpl;tropicos;usda";"ANTIMICROBIAL, ANTIOXIDANT, HAIR CONDITIONING, SKIN PROTECTING";"";"Cerastium Arcticum Callus Culture Extract is the extract of a culture of the callus of Cerastium arcticum, Caryophyllaceae."
"Ceratonia siliqua";"species";"Fabaceae";"Ceratonia";"siliqua";"Ceratonia siliqua";"Accepted";"1";"ildis;tropicos;usda";"MASKING, SKIN CONDITIONING";"";"Ceratonia Siliqua Fruit Extract is the extract of the fruit of the Locust Bean carob, Ceratonia siliqua L., Leguminosae"
"Ceratostigma willmottianum";"species";"Plumbaginaceae";"Ceratostigma";"willmottianum";"Ceratostigma willmottianum";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Ceratostigma Willmottianum Flower Extract is the extract of the flowers of Ceratostigma willmottianum, Plumbaginaceae"
"Selenicereus grandiflorus";"species";"Cactaceae";"Cereus";"grandiflorus";"Selenicereus grandiflorus";"Synonym";"1";"tpl;tropicos;usda";"ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, SKIN CONDITIONING";"";"Cereus Grandiflorus Extract is an extract of the whole plant of the Cactus, Cereus grandiflorus, Cactaceae"
"Cereus hildmannianus";"species";"Cactaceae";"Cereus";"hildmannianus";"Cereus hildmannianus";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Cereus Hildmannianus Extract is the extract of the whole plant, Cereus hildamannianus."
"Cereus jamacaru";"species";"Cactaceae";"Cereus";"jamacaru";"Cereus jamacaru";"Accepted";"1";"tpl;tropicos";"HUMECTANT, SKIN CONDITIONING";"";"Cereus Jamacaru Extract is the extract of the whole plant, Cereus jamacaru, Cactareae."
"Cestrum latifolium";"species";"Solanaceae";"Cestrum";"latifolium";"Cestrum latifolium";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Cestrum Latifolium Leaf Extract is the extract of leaves of Cestrum latifolium, Solanaceae"
"Cestrum nocturnum";"species";"Solanaceae";"Cestrum";"nocturnum";"Cestrum nocturnum";"Accepted";"1";"tpl;tropicos;usda";"MASKING, SKIN CONDITIONING";"";"Cestrum Nocturnum Branch/Flower/Leaf Water is the aqueous solution of the steam distillates obtained from the branches, flowers and leaves of Cestrum nocturnum."
"Cetraria islandica";"species";"Parmeliaceae";"Cetraria";"islandica";"Cetraria islandica";"Accepted";"1";"usda";"CLEANSING, EMOLLIENT, SMOOTHING, SOOTHING";"";"Cetraria Islandica Extract is an extract of the Iceland moss, Cetraria islandica, Parmeliaceae"
"Chaenomeles japonica";"species";"Rosaceae";"Chaenomeles";"japonica";"Chaenomeles japonica";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Chaenomeles Japonica Seed Extract is an extract of the seeds of the Japanese Quince, Chaenomeles japonica, Rosaceae"
"Chaenomeles sinensis";"species";"Rosaceae";"Chaenomeles";"sinensis";"Chaenomeles sinensis";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"This is the extract of the product obtained by the fermentation of the fruits of Citrus unshui, Citus japonica, Citrus junos, Pyrus malus, Musa sapientum, Carica papaya, Pyrus serotina, Diospyros kaki, Citrullus vulgaris, Prunus persica, Prunus mume, Ficus carica, Chaenomeles sinensis, Eriobotrya japonica, Prunus armeniaca, Zizyphus jujuba, Cucurbita maxima, Castanea crenata, Vitis coignetiae, Rubus idaeus, Momordica grosbenorii, Ginkgo biloba, Juglans subcordiformis, Prunus salicina, Akebia quinata, Ctataegus cuneata, Cornus officinalis, Nephelium longana , the flowers of Chamomilla recutita, Carthamus tinctorius , the seeds of Lycium chinense, Glycine max, Phaseolus angularis, Canavalia ensiformis, Oryza sativa, Hordeum vulgare, Coix lachryma-jobi, Echinochloa crus-galli, Setaria italica, Panicum miliaceum, Sesamum indicum, Cassia obtusifolia, Pinus koraiensis , roots of Ipomoea batatas, Helianthus tuberosus, Colocasia antiquorum, Dioscorea batatas, Raphanus sativus, Brassica rapa, Daucus carota sativa, Arctium lappa, Nelumbo nucifera, Lilium auratum, Glycyrrhiza glabra, Sagittaria trifolia, Smallanthus sonchifolius, Acanthopanax sieboldianus , leaves of Brassica oleracea capitata, Morus bombycis, Perilla frutescens, Sasa veitchii , bulb of Allium sativum, Allium cepa , fruiting body of Hydnum erinaceum, Grifola frondosa, Lentinus edodes, Auricularia auricula , rhizomes of Zingiber officinale, Beta vulgaris, Polygonatum odoratum, Curcuma longa , the alga, Iridea laminarioides, Laminaria japonica, Nemacystus decipiens, Undaria pinnatifida , and the whole plants, Houttuynia cordata, Artemisia princeps, Glechoma hederacea, Taraxacum officinale, Isodon japonicus, Plantago asiatica by the microorganisms, Aspergillus, Lactobacillus, Pediococcus, Saccharomyces and Zygosaccharomyces"
"Chaenomeles speciosa";"species";"Rosaceae";"Chaenomeles";"speciosa";"Chaenomeles speciosa";"Accepted";"1";"tpl;tropicos;usda";"MASKING";"";"Chaenomeles Speciosa Flower Extract is the extract of the flowers of Chaenomeles speciosa, Rosaceae."
"Chamaecyparis formosensis";"species";"Cupressaceae";"Chamaecyparis";"formosensis";"Chamaecyparis formosensis";"Accepted";"1";"tpl;tropicos";"ANTIMICROBIAL, ANTIOXIDANT";"";"Chamaecyparis Formosensis Wood Oil is a volatile oil obtained from Chamaecyparis formosensis; Cupressaceae."
"Chamaecyparis lawsoniana";"species";"Cupressaceae";"Chamaecyparis";"lawsoniana";"Chamaecyparis lawsoniana";"Accepted";"1";"tpl";"MASKING, SKIN CONDITIONING";"";"Chamaecyparis Lawsoniana Wood Oil is the volatile oil obtained from the wood of the tree, Chamaecyparis lawsoniana, Cupressaceae"
"Chamaecyparis obtusa";"species";"Cupressaceae";"Chamaecyparis";"obtusa";"Chamaecyparis obtusa";"Accepted";"1";"tpl;tropicos";"HUMECTANT, SKIN CONDITIONING";"";"Chamaecyparis Obtusa Branch/Leaf Extract is the extract of the branches and leaves of Chamaecyparis obtusa, Cupressaceae."
"chamomilla chamomilla";"species";"";"Chamomilla";"recutita";"chamomilla chamomilla";"Synonym";"1";"gcc";"";"";"(Carthamus Tinctorius/Chamomilla Recutita/Syzygium Aromaticum) Flower/(Lithospermum Erythrorhizon/Sophora Flavescens/Scutellaria Baicalensis) Root Extract is the extract of the flowers of Carthamus tinctorius, Chamomilla recutita, Syzygium aromaticum and the roots of Lithospermum erythrorhizon, Sophora flavescens , and Scutellaria baicalensis"
"Chelidonium majus";"species";"Papaveraceae";"Chelidonium";"majus";"Chelidonium majus";"Accepted";"1";"tpl;tropicos;usda";"ANTIDANDRUFF";"";"Chelidonium Majus Extract is an extract of the leaves and aerial parts of the Celandine, Chelidonium majus L., Papaveraceae"
"Chenopodium album";"species";"Amaranthaceae";"Chenopodium";"album";"Chenopodium album";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Chenopodium Album Flower Extract is an extract of the flowers of the White Goosefoot, Chenopodium album L., Chenopodiaceae"
"Dysphania ambrosioides";"species";"Amaranthaceae";"Chenopodium";"ambrosioides";"Dysphania ambrosioides";"Synonym";"1";"tpl";"MASKING, PERFUMING, SKIN CONDITIONING";"";"Chenopodium Ambrosioides Leaf Extract is an extract of the leaves of the American Goosefoot, Chenopodium ambrosioides L., Chenopodiaceae"
"Chenopodium pallidicaule";"species";"Amaranthaceae";"Chenopodium";"pallidicaule";"Chenopodium pallidicaule";"Accepted";"1";"tpl;tropicos;usda";"SKIN PROTECTING";"";"Chenopodium Pallidicaule Seed Extract is the extract of the seeds of Chenopodium pallidicaule, Chenopodiaceae"
"Chenopodium quinoa";"species";"Amaranthaceae";"Chenopodium";"quinoa";"Chenopodium quinoa";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Chenopodium Quinoa Extract is the extract of the whole plant, Chenopodium quinoa, Chenopodiaceae"
"Chimaphila umbellata";"species";"Ericaceae";"Chimaphila";"umbellata";"Chimaphila umbellata";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Chimaphila Umbellata Leaf Extract is an extract of the leaves of Chimaphila umbellata (L.), Pyrolaceae"
"Sarcandra glabra";"species";"Chloranthaceae";"Chloranthus";"glaber";"Sarcandra glabra";"Synonym";"1";"tpl";"SKIN CONDITIONING";"";"Chloranthus Glaber Extract is the extract of the whole plant, Chloranthus glaber, Chloranthaceae"
"Chloranthus japonicus";"species";"Chloranthaceae";"Chloranthus";"japonicus";"Chloranthus japonicus";"Accepted";"1";"tpl;tropicos";"HUMECTANT, SKIN CONDITIONING";"";"Chloranthus Japonicus Extract is the extract of the whole plant, Chloranthus japonicus, Chloranthaceae"
"Chloranthus serratus";"species";"Chloranthaceae";"Chloranthus";"serratus";"Chloranthus serratus";"Accepted";"1";"tpl;tropicos";"HUMECTANT, SKIN CONDITIONING";"";"Chloranthus Serratus Extract is the extract of the entire plant, Chloranthus serratus, Chloranthaceae"
"Maclura tinctoria";"species";"Moraceae";"Chlorophora";"tinctoria";"Maclura tinctoria";"Synonym";"1";"tpl";"ABRASIVE, ANTIOXIDANT";"";"Chlorophora Tinctoria Wood Extract is the extract of the wood of Chlorophora tinctoria (L.), Moraceae"
"Choerospondias axillaris";"species";"Anacardiaceae";"Choerospondias";"axillaris";"Choerospondias axillaris";"Accepted";"1";"tpl";"HUMECTANT";"";"Choerospondias Axillaris Leaf Extract is the extract of the leaves of Choerospondias axillaris, Anacardiaceae"
"Chonemorpha fragrans";"species";"Apocynaceae";"Chonemorpha";"macrophylla";"Chonemorpha fragrans";"Synonym";"1";"tpl";"SKIN CONDITIONING";"";"Chonemorpha Macrophylla Root Extract is the extract of the roots of Chonemorpha macrophylla, Apocynaceae"
"Chromolaena odorata";"species";"Asteraceae";"Chromolaena";"odorata";"Chromolaena odorata";"Accepted";"1";"gcc";"SKIN CONDITIONING";"";"Chromolaena Odorata Leaf Extract is the extract of the leaves of Chromolaena odorata, Asteraceae."
"Dypsis lutescens";"species";"Arecaceae";"Chrysalidocarpus";"lutescens";"Dypsis lutescens";"Synonym";"1";"tpl";"SKIN CONDITIONING";"";"Chrysalidocarpus Lutescens Leaf Extract is the extract of the leaves of Chrysalidocarpus lutescens, Arecaceae"
"Chrysanthellum americanum";"species";"Asteraceae";"Chrysanthellum";"americanum";"Chrysanthellum americanum";"Accepted";"1";"gcc;tropicos";"SKIN CONDITIONING";"";"Chrysanthellum Americanum Extract is the extract of the whole plant, Chrysanthellum americanum (L.), Asteraceae"
"Chrysanthellum indicum";"species";"Asteraceae";"Chrysanthellum";"indicum";"Chrysanthellum indicum";"Accepted";"1";"gcc;tropicos";"SKIN CONDITIONING";"";"Chrysanthellum Indicum Extract is an extract of the aerial parts of Chrysanthellum indicum, Asteraceae"
"Tanacetum balsamita";"species";"Asteraceae";"Chrysanthemum";"balsamita";"Tanacetum balsamita";"Synonym";"1";"gcc";"SKIN CONDITIONING";"";"Chrysanthemum Balsamita Leaf Extract is the extract of the leaves of Chrysanthemum balsamita L., Asteraceae"
"Chrysanthemum boreale";"species";"Asteraceae";"Chrysanthemum";"boreale";"Chrysanthemum boreale";"Accepted";"1";"gcc";"ANTIOXIDANT, SKIN CONDITIONING";"";"Chrysanthemum Boreale Flower Extract is the extract of the flowers of Chrysanthemum boreale, Asteraceae"
"Leucanthemum maximum";"species";"Asteraceae";"Chrysanthemum";"burbankii";"Leucanthemum maximum";"Synonym";"1";"gcc";"SKIN PROTECTING";"";"Chrysanthemum Burbankii Flower Extract is the extract of the flowers of Chrysanthemum burbankii, Asteraceae."
"Tanacetum coccineum";"species";"Asteraceae";"Chrysanthemum";"coccineum";"Tanacetum coccineum";"Synonym";"1";"gcc;tropicos;usda";"SKIN CONDITIONING";"";"Chrysanthemum Coccineum Flower Extract is an extract of the flowers of Chrysanthemum coccineum, Asteraceae"
"Glebionis coronaria";"species";"Asteraceae";"Chrysanthemum";"coronarium";"Glebionis coronaria";"Synonym";"1";"gcc;tropicos";"EMOLLIENT, SKIN CONDITIONING";"";""
"Tanacetum parthenium";"species";"Asteraceae";"Chrysanthemum";"parthenium";"Tanacetum parthenium";"Synonym";"1";"gcc";"SKIN CONDITIONING";"";"Chrysanthemum Parthenium Extract is an extract of the herb of the feverfew, Chrysanthemum parthenium, Asteraceae"
"Leucanthemum sibiricum";"species";"Asteraceae";"Chrysanthemum";"sibiricum";"Leucanthemum sibiricum";"Synonym";"1";"gcc";"SKIN CONDITIONING";"";""
